Ticket No.,Priority,WHO?,WHAT?,WHY?,DONE?,,Acceptance Criteria
,,,,,,FALSE,"If ""Vacation"" is selected as the leave type, the system will show a 
warning message if the requested number of days exceeds the remaining vacation balance."
,,,,,,FALSE,"If a ""Vacation"" request was created on behalf of an Employee it updates vacation balance of the given Employee."
,,,,,,FALSE,Creation of request by Administrator is auto-accepted.
,,,,,,FALSE,"When a request is created on behalf of an Employee, that given Employee receives an email notification."
11,1: must-be,Administrator,Manage employee requests,To update request status,FALSE,FALSE,Clicking on a created request opens a pop-up which provides all details with an option to edit them.
,,,,,,FALSE,"The pop-up additionally provides an option to accept/reject the request. 
Closing the pop-up without accepting/rejecting the request discards any modifications to the request which the Administrator may have made."
,,,,,,FALSE,"The system prevents an Administrator from editing a request for an Employee if the request's date range
overlaps with one of the Employees existing non-rejected/cancelled requests."
,,,,,,FALSE,Admin can only edit an active Leave request if it has no pending modification request attached to it.
,,,,,,FALSE,"When Admin accepts a modification request, the proposed changes overwrite the original Leave request's fields and the modification request is deleted."
,,,,,,FALSE,"When Admin rejects a modification request, it is unlinked from the original and becomes a standalone Leave request with Rejected status."
,,,,,,FALSE,"When a request is rejected/accepted, the status is updated."
,,,,,,,"When a ""Vacation"" request is rejected the Employees vacation balance is replenished."
,,,,,,FALSE,"Administrator cannot edit a ""Rejected"" or a ""Cancelled"" request."
,,,,,,FALSE,The system sends an automated email to the Employee whenever an Administrator approves or rejects request.
12,1: must-be,Administrator,Manage Employees data,To make data-informed decisions,FALSE,FALSE,"The ""Employee List"" screen displays only users belonging to the department which the Administrator oversees."
,,,,,,FALSE,"The list includes the Employee's name, surname."
,,,,,,FALSE,By default list is sorted alphabetically by surname.
,,,,,,FALSE,The list displays the current leave type next to any Employee who is currently on approved leave
,,,,,,FALSE,Clicking on an Employees name opens their profile.
,,,,,,FALSE,"The Owner can deactivate an Employee. Upon deactivation, the Employee is detached 
from the Department and all their Pending Leave requests are deleted."
,,,,,,FALSE,Deactivated Employees do not appear in the Employee List.
,,,,,,FALSE,The list must be searchable by name.
13,1: must-be,Owner,Have full Administrator permissions across all departments,To oversee entire process,FALSE,FALSE,"""Request Manager"" displays every request sorted by department."
,,,,,,FALSE,"The Owner has the same authority as an Administrator to approve, reject, or modify requests."
,,,,,,FALSE,"""Employees List"" for the Owner shows all Employees across all departments, sorted by department."
,,,,,,FALSE,The Owner has the same authority as an Administrator to modify Employees.
14,2: should-be,Administrator,Log working hours,To accurately track Employee performance,FALSE,FALSE,"The Administrator can log working intervals for any Employee within the Department, which they oversee."
,,,,,,FALSE,"The form includes fields for: date, start time and end time of the working interval."
,,,,,,FALSE,System does not allow end time to be before start time.
,,,,,,FALSE,"Collisions of hours are allowed, logs are merged together."
,,,,,,FALSE,"Work hour logs created adjacent to existing entries are automatically merged, with the exception of those meeting at midnight."
,,,,,,FALSE,The form does not allow to log hours for future dates.
,,,,,,FALSE,"If an Unpaid leave is accepted for a given day, it removes any work hour logs from that day."
15,2: should-be,Administrator and Employee,View logged working hours,To stay informed about recorded working time,FALSE,FALSE,Employees Profile Page is extended with list of logged hours (list of paid intervals)
,,,,,,FALSE,"Each row contains: Date, Time Interval(s), Duration."
,,,,,,FALSE,The list is sorted by date and time.
16,2: should-be,Administrator,Have same permissions as an Employee,To manage an Administrator like an Employee,FALSE,FALSE,"User can function as both an Employee and an Administrator entity simultaneously. 
A User may be considered an Employee in one Department while serving as the Administrator of another."
,,,,,,FALSE,When Owner is creating a User he can assign their role as both an Administrator and an Employee
,,,,,,FALSE,User can be an Employee in a Department that they oversee as an Administrator.
17,2: should-be,Administrator,Extract data into sheet,To enable further data processing using external tools,FALSE,FALSE,There exists a page that allows Administrator to download formated data.
,,,,,,FALSE,The data is presented as .csv files and archived into .zip file
,,,,,,FALSE,The Administrator is allowed to download data only of departments they oversee.
,,,,,,FALSE,The way the data is structured resembles data model of the system
,,,,,,FALSE,"The data may include information about users, leaves, logged hours, departments."
18,2: should-be,All,Change account password when logged in,To increase account security ,FALSE,FALSE,"The profile screen provides a ""Change Password"" button."
,,,,,,FALSE,"If clicked, it opens a pop-up with fields ""Current Password"", ""New Password"", ""Retype New Password""."
,,,,,,FALSE,"If the input in ""Retype New Password"" is not the same as in ""New Password"" the system will display an error."
,,,,,,FALSE,"If the entered ""Current password"" is incorrect the system displays an error."
,,,,,,FALSE,Once password is changed User receives an email notification.
,,,,,,FALSE,Once password is changed all other active sessions are invalidated (The user must re-login)
19,2: should-be,Administrator,Be assigned to several departments,To oversee Multiple Departments,FALSE,FALSE,"When creating a department, the Owner assigns one or more Administrators to oversee it."
,,,,,,FALSE,During Administrator creation Owner can assign multiple Departments.
,,,,,,FALSE,"The ""Request Manager"" displays requests from all departments overseen by the Administrator."
,,,,,,FALSE,"The Administrator can filter the ""Request Manager"" and ""Employees List"" by a specific department."
,,,,,,FALSE,"In the ""Add Employee"" form, the Administrator selects which of their assigned departments the user belongs to."
,,,,,,FALSE,The Administrator can log working intervals for any Employee across all their assigned departments.
,,,,,,FALSE,Removing an Administrator from a department immediately revokes their access to that department’s data.
,,,,,,FALSE,"When an Administrator creates a request for an Employee, the selection list is limited to their assigned departments."
20,2: should-be,Administrator,Edit account for Employees,To make sure the system is up to date,FALSE,FALSE,"The system provides an ""Edit"" button on the Employee profile screen, accessible to Owner and Administrators."
,,,,,,FALSE,Administrators can only edit the profiles of Employees who belong to department they oversee.
,,,,,,FALSE,The edit form for Administrator allows for the modification of department assignment and vacation balance.
,,,,,,FALSE,"The edit form for Owner additionally allows for the modification of first name, surname, role, email and password."
,,,,,,FALSE,"If Owner edits a Users password, the User receives an email with new credentials."
,,,,,,FALSE,"If Owner edits a Users email, the User receives an email notification (to the new email)."
,,,,,,FALSE,The edit form for Administrator allows for the modification of department assignment.
,,,,,,FALSE,The system prevents an Administrator from editing their own information in profile.
21,3: could-be,All,Change language,To navigate the application in a preferred language,FALSE,FALSE,The sidebar provides buttons for language selection.
,,,,,,FALSE,The available languages are English and Ukrainian.
,,,,,,FALSE,"Upon selection, all labels, buttons, and system messages translate to the chosen language."
,,,,,,FALSE,Language preference is saved after logouts.
,,,,,,FALSE,The system defaults to English if no preference is set.
22,3: could-be,All,Visibility settings (e.g. light/dark mode),To increase ease of use of website,FALSE,FALSE,"The sidebar includes a toggle for ""Dark Mode"" and ""Light Mode""."
,,,,,,FALSE,The theme changes the background and text colors across all user screens.
,,,,,,FALSE,User can set a preference for Light/Dark mode which persists after logouts.
,,,,,,FALSE,"The system defaults to ""Light Mode"" if no preference has been set."
23,3: could-be,Administrator,Automatically log working hours,To make Administrator work easier,FALSE,FALSE,There exists default working hours for Department and Employee.
,,,,,,FALSE,Default working hours can be optionally set at registration of a Department/Employee.
,,,,,,FALSE,A Department/Employee can be edited by Administrator to add default working hours.
,,,,,,FALSE,"If no default hours are set for an Employee, Employee inherits Department working hours if they exist."
,,,,,,FALSE,"At midnight, the system logs a full working day for the following day based on default hours."
,,,,,,FALSE,"If Employee is on accepted unpaid leave, the system does not automatically add working hours."
,,,,,,FALSE,The Profile page displays the default working hours interval.
24,3: could-be,All,Change account password without being logged in,"To gain access to personal account in the case 
where the password was forgotten",FALSE,FALSE,"The login screen provides a ""I forgot my password"" form."
,,,,,,FALSE,"If clicked, it opens a pop-up where the User must input their email."
,,,,,,FALSE,If the email does not belong to any registered User the system displays an error.
,,,,,,FALSE,"The pop-up includes a button. If clicked, it sends a ""Password reset"" email."
,,,,,,FALSE,"The ""Password reset"" email contains a link. If followed, it leads to a page with fields: ""New Password"", ""Retype New Password""."
,,,,,,FALSE,"If the input in ""Retype New Password"" is not the same as in ""New Password"" the system will display an error."
,,,,,,FALSE,"The ""Password reset"" email automatically becomes expired after 15 minutes."
,,,,,,FALSE,"If User requests a new ""Password reset"" email the previous one automatically becomes expired."
,,,,,,FALSE,After changing password all existing sessions are invalidated.
